SecurityID,rUpDown,Date,winRate,tradeCount,winLim,winCount,perWin,lossLim,lossCount,perLoss,dayLim,OverCount,perOver,cDownLim,cDownCount,percDown
300390,rU3D2,20220321,2.108,75,0.03,64,85.3,-2.0,0,0.0,10,10,13.3,-2,0,0.0
300390,rU2D16,20220321,2.1,99,0.05,47,47.5,-0.03,38,38.4,3,10,10.1,-1,3,3.0
300390,rU3D15,20220321,2.097,84,0.05,44,52.4,-0.03,37,44.0,5,1,1.2,-1,1,1.2
300390,rU3D16,20220321,2.095,85,0.05,41,48.2,-0.03,31,36.5,3,10,11.8,-1,2,2.4
300390,rU3D15,20220321,2.095,85,0.05,41,48.2,-0.03,31,36.5,3,11,12.9,-1,1,1.2
300390,rU3D16,20220321,2.093,82,0.05,54,65.9,-2.0,0,0.0,7,8,9.8,-1,19,23.2
300390,rU3D7,20220321,2.091,91,0.05,55,60.4,-2.0,0,0.0,5,9,9.9,-1,26,28.6
300390,rU3D2,20220321,2.084,68,0.05,50,73.5,-2.0,0,0.0,7,17,25.0,-2,0,0.0
300390,rU2D14,20220321,2.084,96,0.05,49,51.0,-0.03,44,45.8,7,1,1.0,-1,1,1.0
300390,rU2D2,20220321,2.084,141,0.05,67,47.5,-2.0,0,0.0,3,5,3.5,-1,68,48.2
300390,rU3D8,20220321,2.083,89,0.05,56,62.9,-2.0,0,0.0,7,6,6.7,-1,26,29.2
300390,rU2D4,20220321,2.078,120,0.05,56,46.7,-0.03,48,40.0,3,8,6.7,-1,7,5.8
300390,rU2D16,20220321,2.078,110,0.03,80,72.7,-2.0,0,0.0,5,19,17.3,-1,11,10.0
300390,rU3D16,20220321,2.073,82,0.05,55,67.1,-2.0,0,0.0,10,7,8.5,-1,19,23.2
300390,rU2D17,20220321,2.072,95,0.05,61,64.2,-2.0,0,0.0,7,14,14.7,-1,19,20.0
300390,rU2D2,20220321,2.071,141,0.05,69,48.9,-2.0,0,0.0,5,1,0.7,-1,70,49.6
300390,rU2D4,20220321,2.066,119,0.05,57,47.9,-0.03,52,43.7,5,1,0.8,-1,8,6.7
